video_id,duration,commentCount,dislikeCount,favoriteCount,likeCount,viewCount,timestamp
abGCYPCk294,3014,710,115,0,1601,47264,2019-04-06 11:53:22.822205
lY_0mkYDZDU,246,2552,2087,0,45638,2834348,2019-04-06 11:53:23.972123
k8NxqyGcZA4,154,2290,5846,0,2909,338302,2019-04-06 11:53:25.373545
IE-xepGLVt8,269,710,261,0,7599,961851,2019-04-06 11:53:26.781615
ObIQ0s02UHg,218,3917,7873,0,132101,19243137,2019-04-06 11:53:27.987624
cOc3tsFWoRs,142,2070,775,0,37075,4822560,2019-04-06 11:53:29.192669
AJYb0Yom5UQ,161,198,49,0,381,178691,2019-04-06 11:53:30.710631
gLswXiRLdkA,558,2378,1676,0,38465,1192644,2019-04-06 11:53:31.836224
MyEqfBkzESU,1060,11396,9131,0,56176,3645934,2019-04-06 11:53:33.102966
wJYE0sFOteE,274,310,119,0,5682,395727,2019-04-06 11:53:34.294140
L_5_slz4ke4,226,89,25,0,112,15011,2019-04-06 11:53:35.670375
OKoL852K9uA,542,430,338,0,5159,188600,2019-04-06 11:53:37.021463
pa_oUisZZy0,81,2720,883,0,78640,3062073,2019-04-06 11:53:38.804536
fNtLIcyjsnI,148,1694,2072,0,38525,7366034,2019-04-06 11:53:40.158820
_Iz83-Cmt6A,0,0,0,0,0,0,2019-04-06 11:53:41.537497
YlvCVbfS9M0,112,2678,759,0,43455,1495890,2019-04-06 11:53:42.786926
arJ5h2TY3I4,225,14053,3145,0,232351,4925603,2019-04-06 11:53:44.427475
-2RVw2_QyxQ,20767,25,28,0,496,82844,2019-04-06 11:53:45.978441
gEHCXl4J9Qo,186,4056,2185,0,87981,4255916,2019-04-06 11:53:47.276877
-OK9i1_YYYc,42909,14,35,0,2254,48494,2019-04-06 11:53:48.511829
b4vTZx_AtHk,87,14090,15436,0,135708,4076183,2019-04-06 11:53:49.667796
kOnQocd799Y,924,11263,7753,0,102549,6568214,2019-04-06 11:53:50.855041
e4FApt6z55c,205,2697,1861,0,35912,2668561,2019-04-06 11:53:51.966461
2XK4omx9uMU,125,15640,4829,0,419113,22104919,2019-04-06 11:53:53.200529
xfmipNU4Odc,214,2359,332,0,49304,2208213,2019-04-06 11:53:54.695701
jp9hK-jY6yY,360,26550,5744,0,377657,9129247,2019-04-06 11:53:55.961080
RkHuWjiR-LM,222,1487,795,0,32892,3309564,2019-04-06 11:53:57.186712
fCTKDn3Q8xQ,255,13208,3098,0,131997,4836008,2019-04-06 11:53:58.398016
DIU3xPdhCBI,340,2914,3151,0,77688,5117285,2019-04-06 11:53:59.513650
wnwF1FHybDQ,271,311,280,0,4847,795567,2019-04-06 11:54:00.658028
9oFP-pOMNwE,13,0,983,0,3703,622330,2019-04-06 11:54:01.961396
pz95u3UVpaM,217,26381,30497,0,909127,127872726,2019-04-06 11:54:03.170083
g5c1bk8weaQ,241,13516,3107,0,383989,5750757,2019-04-06 11:54:04.426814
yuBqWcSKrCk,428,313,239,0,6174,933598,2019-04-06 11:54:05.912611
x9mh-SwSKas,979,692,192,0,13069,406500,2019-04-06 11:54:07.383738
uiA4B5Y63IQ,141,946,585,0,11040,2016570,2019-04-06 11:54:08.558002
viyRD5z6ilQ,199,627,478,0,9409,765059,2019-04-06 11:54:09.836271
QFfEtKvXMAs,232,3857,762,0,107247,3994640,2019-04-06 11:54:11.048560
xg9ebVTL9yE,195,2341,1098,0,52454,4906759,2019-04-06 11:54:12.174953
fbHbTBP_u7U,216,52444,24252,0,1139333,76532058,2019-04-06 11:54:13.840460
Ja_GMU7-sjs,454,6913,2499,0,72240,3058915,2019-04-06 11:54:15.329980
QOksZ8VogRw,220,3982,3777,0,154801,13029644,2019-04-06 11:54:16.541775
RYs08kX3Ih4,638,1294,677,0,25095,669831,2019-04-06 11:54:18.011697
tOFkFZbPdnQ,16,410,207,0,9052,629959,2019-04-06 11:54:19.224763
