channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
GEazyMusicVEVO,UCjjC1Jk_1o1VWpLalgo21XQ,2014-04-25T19:53:03.000Z,3959517,116,2735477270,2019-04-07 14:37:53.842122
U.S. Navy,,,0,0,0,2019-04-07 14:37:54.880539
IGN,UC5YfR2K_rXeIy7bseOKky6Q,2006-03-01T19:54:48.000Z,1274,0,0,2019-04-07 14:37:55.988951
Safiya Nygaard,,,0,0,0,2019-04-07 14:37:57.029347
Lele Pons,,,0,0,0,2019-04-07 14:37:58.069856
INSIDER,,,0,0,0,2019-04-07 14:37:59.114232
John Lewis,,,0,0,0,2019-04-07 14:38:00.157886
Ed Sheeran,,,0,0,0,2019-04-07 14:38:01.196476
Sara Dietschy,,,0,0,0,2019-04-07 14:38:02.237905
MeganBatoon,UCV-s8itWCK3yeCppmSYxtVA,2010-12-13T18:38:06.000Z,1064910,386,80432946,2019-04-07 14:38:03.307063
John Campea,,,0,0,0,2019-04-07 14:38:04.343517
fosterthepeopleVEVO,UC-lkm1huv9jCUH28E7cKmew,2011-01-10T17:45:13.000Z,1531463,74,916329123,2019-04-07 14:38:05.414885
Watch What Happens Live with Andy Cohen,,,0,0,0,2019-04-07 14:38:06.484364
Mayo Clinic,,,0,0,0,2019-04-07 14:38:07.522806
Jason Derulo,,,0,0,0,2019-04-07 14:38:08.565229
The Late Late Show with James Corden,,,0,0,0,2019-04-07 14:38:09.606668
cocheusadoooo,UCVwfBTDTmVokWadp1PFRBBw,2011-03-02T02:34:12.000Z,1835,18,3330877,2019-04-07 14:38:10.721025
Amber Scholl,,,0,0,0,2019-04-07 14:38:11.758529
John Maclean,,,0,0,0,2019-04-07 14:38:12.806925
Bon Appétit,,,0,0,0,2019-04-07 14:38:13.853340
ABC News,,,0,0,0,2019-04-07 14:38:14.889971
mayratouchofglam,UCdYIfA_OTih2--tbcKO0b5g,2012-09-13T05:58:16.000Z,2069164,375,165973456,2019-04-07 14:38:16.043292
BuzzFeed Celeb,,,0,0,0,2019-04-07 14:38:17.088691
Zero Media,,,0,0,0,2019-04-07 14:38:18.133099
CMAVEVO,,,0,0,0,2019-04-07 14:38:19.182497
Alan Walker,,,0,0,0,2019-04-07 14:38:20.227887
SUPERFRUIT,,,0,0,0,2019-04-07 14:38:21.306274
Saint Louis Chess Club,,,0,0,0,2019-04-07 14:38:22.346675
ABC Television Network,,,0,0,0,2019-04-07 14:38:23.388066
Animal Adventure Park,,,0,0,0,2019-04-07 14:38:24.430610
HowToBasic,UCR4s1DE9J4DHzZYXMltSMAg,2011-12-08T10:47:20.000Z,13107654,493,2132380792,2019-04-07 14:38:25.511170
CinemaSins,UCYUQQgogVeQY8cMQamhHJcg,2012-12-11T20:22:33.000Z,8343791,715,2645903159,2019-04-07 14:38:26.597739
kimbramusic,UCxUp7o-KYIygfaw4UOZ8ebQ,2010-09-28T01:00:38.000Z,266052,108,85178082,2019-04-07 14:38:27.668101
Capital FM,,,0,0,0,2019-04-07 14:38:28.715642
Hope For Paws - Official Rescue Channel,,,0,0,0,2019-04-07 14:38:29.760152
IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2010-10-29T06:29:13.000Z,14643181,775,3022591312,2019-04-07 14:38:30.817542
Hopeless Records,,,0,0,0,2019-04-07 14:38:31.865058
Rachel and Jun,,,0,0,0,2019-04-07 14:38:32.908463
BBC Music,,,0,0,0,2019-04-07 14:38:33.947849
Late Night with Seth Meyers,,,0,0,0,2019-04-07 14:38:34.994278
H&M,,,0,0,0,2019-04-07 14:38:36.037695
CamilaCabelloVEVO,,,0,0,0,2019-04-07 14:38:37.083374
Liza Koshy,,,0,0,0,2019-04-07 14:38:38.125906
TheEllenShow,UCp0hYYBW6IMayGgR-WeoCvQ,2006-11-21T04:53:43.000Z,31682383,10092,15402979006,2019-04-07 14:38:39.192394
clothesencounters,UCgWfS_47YPVbKx5EK4FLm4A,2010-03-01T05:15:41.000Z,2396237,639,248908124,2019-04-07 14:38:40.273845
FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,2006-05-15T18:12:33.000Z,276932,1428,578489428,2019-04-07 14:38:41.351256
LukeBryanVEVO,UCteMJzhMoMh1-WN6d2u6NEg,2010-03-17T20:32:05.000Z,1644763,77,1384127554,2019-04-07 14:38:42.445865
NiallHoranVEVO,,,0,0,0,2019-04-07 14:38:43.492262
empireofthesunvevo,UCGMTsjL8kDqIuYlRcFhda1g,2010-06-10T04:52:03.000Z,255158,56,305786839,2019-04-07 14:38:44.591730
NFVEVO,UCI3H1FsjbdqGcLq93ZilV5g,2014-02-10T21:57:48.000Z,1655111,58,990339979,2019-04-07 14:38:45.696117
Marques Brownlee,,,0,0,0,2019-04-07 14:38:46.740693
Atlantic Records,,,0,0,0,2019-04-07 14:38:47.790522
MsAaliyahJay,UCneR_qQ1NE_u9neBSEJJ7lg,2011-11-16T01:43:53.000Z,1262095,268,89267634,2019-04-07 14:38:48.864027
Danny Sapko,,,0,0,0,2019-04-07 14:38:49.904960
Vogue,UCZ8TREbPfawhSvayVe5pqKg,2005-10-05T19:02:28.000Z,695399,311,99498579,2019-04-07 14:38:50.975325
Michelle Khare,,,0,0,0,2019-04-07 14:38:52.024818
Full Frontal with Samantha Bee,,,0,0,0,2019-04-07 14:38:53.070223
Nicole Guerriero,,,0,0,0,2019-04-07 14:38:54.117630
The Late Show with Stephen Colbert,,,0,0,0,2019-04-07 14:38:55.161258
Jimmy Kimmel Live,,,0,0,0,2019-04-07 14:38:56.204852
SuperCarlinBrothers,UCKZo4N0lVPccBkSiuyVh4yg,2012-04-23T23:16:23.000Z,1953291,871,430700313,2019-04-07 14:38:57.312194
SiaVEVO,UCmKdSrwf1e8coqAzUsrVHZw,2009-05-12T05:29:21.000Z,10407624,98,7571850030,2019-04-07 14:38:58.407195
Business Insider,,,0,0,0,2019-04-07 14:38:59.449595
2CELLOS,,,0,0,0,2019-04-07 14:39:00.499489
theneedledrop,UCt7fwAhXDy3oNFTAzF2o8Pw,2009-01-21T05:50:41.000Z,1795724,2898,447731628,2019-04-07 14:39:01.574079
Simon's Cat,,,0,0,0,2019-04-07 14:39:02.615730
Andy Grammer,,,0,0,0,2019-04-07 14:39:03.665606
RemyMaVEVO,UCvNnDoK1N5_dP6J_EtMsd7w,2009-05-12T05:29:09.000Z,124857,9,44159028,2019-04-07 14:39:04.759393
Nintendo,UCGIY_O-8vW4rfX98KlMkvRg,2005-12-27T13:18:56.000Z,5416845,3433,1679394669,2019-04-07 14:39:05.828160
Dina Tokio,,,0,0,0,2019-04-07 14:39:06.870184
Team Coco,,,0,0,0,2019-04-07 14:39:07.911412
