channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
GEazyMusicVEVO,UCjjC1Jk_1o1VWpLalgo21XQ,2014-04-25T19:53:03.000Z,3959283,116,2735542728,2019-04-07 15:05:49.249654
U.S. Navy,,,0,0,0,2019-04-07 15:05:50.300466
IGN,UC5YfR2K_rXeIy7bseOKky6Q,2006-03-01T19:54:48.000Z,1274,0,0,2019-04-07 15:05:51.396639
Safiya Nygaard,,,0,0,0,2019-04-07 15:05:52.437973
Lele Pons,,,0,0,0,2019-04-07 15:05:53.484407
INSIDER,,,0,0,0,2019-04-07 15:05:54.532160
John Lewis,,,0,0,0,2019-04-07 15:05:55.578960
Ed Sheeran,,,0,0,0,2019-04-07 15:05:56.615026
Sara Dietschy,,,0,0,0,2019-04-07 15:05:57.658456
MeganBatoon,UCV-s8itWCK3yeCppmSYxtVA,2010-12-13T18:38:06.000Z,1064904,386,80433586,2019-04-07 15:05:58.742598
John Campea,,,0,0,0,2019-04-07 15:05:59.787467
fosterthepeopleVEVO,UC-lkm1huv9jCUH28E7cKmew,2011-01-10T17:45:13.000Z,1531463,74,916339695,2019-04-07 15:06:00.882644
Watch What Happens Live with Andy Cohen,,,0,0,0,2019-04-07 15:06:01.938344
Mayo Clinic,,,0,0,0,2019-04-07 15:06:02.986190
Jason Derulo,,,0,0,0,2019-04-07 15:06:04.033014
The Late Late Show with James Corden,,,0,0,0,2019-04-07 15:06:05.074028
cocheusadoooo,UCVwfBTDTmVokWadp1PFRBBw,2011-03-02T02:34:12.000Z,1835,18,3330904,2019-04-07 15:06:06.164679
Amber Scholl,,,0,0,0,2019-04-07 15:06:07.211456
John Maclean,,,0,0,0,2019-04-07 15:06:08.252263
Bon Appétit,,,0,0,0,2019-04-07 15:06:09.290840
ABC News,,,0,0,0,2019-04-07 15:06:10.334207
mayratouchofglam,UCdYIfA_OTih2--tbcKO0b5g,2012-09-13T05:58:16.000Z,2069167,375,165974444,2019-04-07 15:06:11.393637
BuzzFeed Celeb,,,0,0,0,2019-04-07 15:06:12.451680
Zero Media,,,0,0,0,2019-04-07 15:06:13.488242
CMAVEVO,,,0,0,0,2019-04-07 15:06:14.523677
Alan Walker,,,0,0,0,2019-04-07 15:06:15.561696
SUPERFRUIT,,,0,0,0,2019-04-07 15:06:16.621093
Saint Louis Chess Club,,,0,0,0,2019-04-07 15:06:17.658872
ABC Television Network,,,0,0,0,2019-04-07 15:06:18.696244
Animal Adventure Park,,,0,0,0,2019-04-07 15:06:19.751537
HowToBasic,UCR4s1DE9J4DHzZYXMltSMAg,2011-12-08T10:47:20.000Z,13107761,493,2132406862,2019-04-07 15:06:20.832483
CinemaSins,UCYUQQgogVeQY8cMQamhHJcg,2012-12-11T20:22:33.000Z,8343858,715,2645944516,2019-04-07 15:06:21.912905
kimbramusic,UCxUp7o-KYIygfaw4UOZ8ebQ,2010-09-28T01:00:38.000Z,266046,108,85178362,2019-04-07 15:06:22.984296
Capital FM,,,0,0,0,2019-04-07 15:06:24.040739
Hope For Paws - Official Rescue Channel,,,0,0,0,2019-04-07 15:06:25.084128
IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2010-10-29T06:29:13.000Z,14643339,775,3022618406,2019-04-07 15:06:26.150953
Hopeless Records,,,0,0,0,2019-04-07 15:06:27.193979
Rachel and Jun,,,0,0,0,2019-04-07 15:06:28.245103
BBC Music,,,0,0,0,2019-04-07 15:06:29.285685
Late Night with Seth Meyers,,,0,0,0,2019-04-07 15:06:30.328103
H&M,,,0,0,0,2019-04-07 15:06:31.374500
CamilaCabelloVEVO,,,0,0,0,2019-04-07 15:06:32.426180
Liza Koshy,,,0,0,0,2019-04-07 15:06:33.475401
TheEllenShow,UCp0hYYBW6IMayGgR-WeoCvQ,2006-11-21T04:53:43.000Z,31682907,10092,15403231573,2019-04-07 15:06:34.556023
clothesencounters,UCgWfS_47YPVbKx5EK4FLm4A,2010-03-01T05:15:41.000Z,2396226,639,248910042,2019-04-07 15:06:35.631220
FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,2006-05-15T18:12:33.000Z,276933,1428,578492309,2019-04-07 15:06:36.704170
LukeBryanVEVO,UCteMJzhMoMh1-WN6d2u6NEg,2010-03-17T20:32:05.000Z,1644763,77,1384144159,2019-04-07 15:06:37.797843
NiallHoranVEVO,,,0,0,0,2019-04-07 15:06:38.845914
empireofthesunvevo,UCGMTsjL8kDqIuYlRcFhda1g,2010-06-10T04:52:03.000Z,255158,56,305790420,2019-04-07 15:06:39.970809
NFVEVO,UCI3H1FsjbdqGcLq93ZilV5g,2014-02-10T21:57:48.000Z,1655111,58,990357585,2019-04-07 15:06:41.060067
Marques Brownlee,,,0,0,0,2019-04-07 15:06:42.114277
Atlantic Records,,,0,0,0,2019-04-07 15:06:43.159006
MsAaliyahJay,UCneR_qQ1NE_u9neBSEJJ7lg,2011-11-16T01:43:53.000Z,1262114,268,89270997,2019-04-07 15:06:44.245556
Danny Sapko,,,0,0,0,2019-04-07 15:06:45.287642
Vogue,UCZ8TREbPfawhSvayVe5pqKg,2005-10-05T19:02:28.000Z,695402,311,99501183,2019-04-07 15:06:46.352873
Michelle Khare,,,0,0,0,2019-04-07 15:06:47.393826
Full Frontal with Samantha Bee,,,0,0,0,2019-04-07 15:06:48.429655
Nicole Guerriero,,,0,0,0,2019-04-07 15:06:49.494895
The Late Show with Stephen Colbert,,,0,0,0,2019-04-07 15:06:50.531983
Jimmy Kimmel Live,,,0,0,0,2019-04-07 15:06:51.587304
SuperCarlinBrothers,UCKZo4N0lVPccBkSiuyVh4yg,2012-04-23T23:16:23.000Z,1953302,871,430706229,2019-04-07 15:06:52.656871
SiaVEVO,UCmKdSrwf1e8coqAzUsrVHZw,2009-05-12T05:29:21.000Z,10407624,98,7571948062,2019-04-07 15:06:53.725484
Business Insider,,,0,0,0,2019-04-07 15:06:54.767409
2CELLOS,,,0,0,0,2019-04-07 15:06:55.819212
theneedledrop,UCt7fwAhXDy3oNFTAzF2o8Pw,2009-01-21T05:50:41.000Z,1795752,2898,447736584,2019-04-07 15:06:56.881937
Simon's Cat,,,0,0,0,2019-04-07 15:06:57.924563
Andy Grammer,,,0,0,0,2019-04-07 15:06:58.962318
RemyMaVEVO,UCvNnDoK1N5_dP6J_EtMsd7w,2009-05-12T05:29:09.000Z,124857,9,44159394,2019-04-07 15:07:00.046249
Nintendo,UCGIY_O-8vW4rfX98KlMkvRg,2005-12-27T13:18:56.000Z,5416941,3433,1679427037,2019-04-07 15:07:01.124353
Dina Tokio,,,0,0,0,2019-04-07 15:07:02.166175
Team Coco,,,0,0,0,2019-04-07 15:07:03.204636
PitbullVEVO,UCVWA4btXTFru9qM06FceSag,2009-05-12T05:29:04.000Z,10029302,194,7741800526,2019-04-07 15:07:04.298977
Late Show with David Letterman,,,0,0,0,2019-04-07 15:07:05.343582
Alicia Keys,,,0,0,0,2019-04-07 15:07:06.386108
ElbowVEVO,UCmOFHvCruXt5NJmxS8HPoaA,2009-05-12T05:27:51.000Z,34393,56,28240580,2019-04-07 15:07:07.484965
