video_id,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
x25k_-Katf4,UCsooa4yRKGN_zEE8iknghZA,2011-03-01T20:33:10.000Z,8911188,1573,1317669586,2019-04-08 11:08:58.569559
t3z_pdr6z8w,UCzJIliq68IHSn-Kwgjeg2AQ,2006-03-12T15:10:29.000Z,2994720,836,251008743,2019-04-08 11:08:59.749166
CZMO9Ud0tOU,,,0,0,0,2019-04-08 11:09:00.914685
GM1QDBvzm1Y,UCziQJYHu1KSyNO1Y2daMEvg,2008-07-13T11:20:07.000Z,52642,2265,317459283,2019-04-08 11:09:02.126119
KtA3Wp8eNgA,UCUK0HBIBWgM2c4vsPhkYY4w,2010-08-15T13:51:49.000Z,12309900,253,1695870552,2019-04-08 11:09:08.450798
0GQmGOju6CE,,,0,0,0,2019-04-08 11:09:09.622586
XIZmIl9SsXk,UCpko_-a4wgz2u_DgDgd9fqA,2011-08-10T21:27:29.000Z,18743352,5956,15030189930,2019-04-08 11:09:10.832194
zsbT6NMUrSk,UC8Su5vZCXWRag13H53zWVwA,2006-09-19T04:59:12.000Z,617119,8207,280322377,2019-04-08 11:09:12.016802
Np0LMwqtOVM,UCbpMy0Fg74eXXkvxJrtEn3w,2008-04-29T22:26:01.000Z,3543185,883,478662056,2019-04-08 11:09:20.251396
Mhzmc7LRIGo,UCuVHOs0H5hvAHGr8O4yIBNQ,2012-09-03T21:55:58.000Z,7796638,407,950255592,2019-04-08 11:09:21.434208
52L2HML5O1k,UCZGYJFUizSax-yElQaFDp5Q,2005-08-27T17:10:49.000Z,2660366,1157,847404666,2019-04-08 11:09:22.651901
HvPbH30KWLE,UCRXiA3h1no_PFkb1JCP0yMA,2008-06-29T22:48:58.000Z,4722008,2120,1033916300,2019-04-08 11:09:23.841306
XT3gEidTKAc,UCEY0yxj6QxG4RBVRSe5orig,2011-01-07T00:13:00.000Z,1149087,493,140834292,2019-04-08 11:09:25.146670
9r6NI9m_IxM,UCI8Ry7NdFNLel-S8dWU7mDA,2009-05-12T05:27:51.000Z,570723,97,630764703,2019-04-08 11:09:26.365954
Z00-9MhEw5o,UCJQL1Fai-9GlVunsbP4x8Pg,2009-06-05T06:28:12.000Z,2470932,649,319474326,2019-04-08 11:09:27.579297
kDiJh8loTOE,,,0,0,0,2019-04-08 11:09:33.766731
RjujNLl1jyk,UCaLfMkkHhSA_LaCta0BzyhQ,2014-03-24T21:21:29.000Z,2969727,885,594497727,2019-04-08 11:09:34.953184
qNl4-y6q5rc,UCupvZG-5ko_eiXAupbDfxWw,2005-10-02T16:06:36.000Z,6491335,144912,4505946525,2019-04-08 11:09:36.182659
Prnw-NqXSEY,UC9k-yiEpRHMNVOnOi_aQK8w,2012-10-09T00:36:32.000Z,5864010,16622,6892310215,2019-04-08 11:09:37.382175
0ufNmUyf2co,,,0,0,0,2019-04-08 11:09:38.555498
byBCkV_j-As,,,0,0,0,2019-04-08 11:09:39.709844
gTRRvvE3HiU,,,0,0,0,2019-04-08 11:09:40.901159
leHtDz4Mj0M,,,0,0,0,2019-04-08 11:09:42.143440
SS0ebmCqHxs,UC8y7Xa0E1Lo6PnVsu2KJbOA,2005-11-12T23:12:12.000Z,1022852,99,213186229,2019-04-08 11:09:48.360577
oGmIFXfgPM4,UC0JO-FDmcF2lFP1l-rsmBWg,2007-03-12T19:23:31.000Z,213900,1656,49106285,2019-04-08 11:09:54.455651
Q1CFfU2gXHw,UCOmcA3f_RrH6b9NmcNa4tdg,2006-05-05T19:10:07.000Z,2056593,18962,969016527,2019-04-08 11:09:55.673085
uikOKrrwsfw,,,0,0,0,2019-04-08 11:09:56.858421
Di4QJUCElgs,UC1x4XiKjnt_aonVhDLDxqmw,2013-12-28T02:06:28.000Z,1535443,335,87984235,2019-04-08 11:09:58.071779
Zvg6b6q1s-Y,UCDVYQ4Zhbm3S2dlz7P1GBDg,2014-12-14T02:07:35.000Z,4739337,15821,2842569759,2019-04-08 11:09:59.264093
a3Z3HAdHFdo,UCsNGtpqGsyw0U6qEG-WHadA,2010-06-06T08:29:25.000Z,760869,843,194578627,2019-04-08 11:10:00.491451
xYb9HeucPf0,UCK7IIV6Q2junGSdYK3BmZMg,2006-04-10T16:33:09.000Z,3581043,30140,3182507008,2019-04-08 11:10:01.685889
klGP5rtA76c,UCWnhR7raxVFDHmDXqCIzuAw,2009-02-18T16:03:12.000Z,562114,704,161304207,2019-04-08 11:10:02.905278
S74uFJHI6gM,UCIRYBXDze5krPDzAEOxFGVA,2014-10-22T09:51:00.000Z,378613,4003,387114970,2019-04-08 11:10:04.125867
qDI8LnPq3VY,UCrhvSkQ4z7N2USDHvWSBKZg,2006-10-10T05:26:28.000Z,46,34,72345,2019-04-08 11:10:05.431121
y6KYFcta4SE,UCTln5ss6h6L_xNfMeujfPbg,2012-01-12T00:21:25.000Z,122914,20593,72489292,2019-04-08 11:10:06.654600
mqf0f1h8ZTU,UCX5l0Xvq9pQTE2mQ8p0SmhQ,2009-09-17T17:46:05.000Z,1306,538,391236,2019-04-08 11:10:07.871900
WlN04DM8ol0,,,0,0,0,2019-04-08 11:10:09.046262
EQzWr52gCWA,,,0,0,0,2019-04-08 11:10:10.234716
1e5vRpODASk,UCy1q18ivH441PJQAoTYf9pQ,2006-06-11T12:57:07.000Z,4405,25,656351,2019-04-08 11:10:11.499231
pkwSoJrVWAY,UCOeCfDAgD__sksj5FH1UY9Q,2006-11-29T18:45:55.000Z,63,27,222127,2019-04-08 11:10:12.759710
zkG4Xpz6t68,UCGnjeahCJW1AF34HBmQTJ-Q,2009-09-02T23:38:38.000Z,19391584,144,15791485024,2019-04-08 11:10:13.987003
