channel_title,channel_id,publishedAt,subscriberCount,videoCount,viewCount,timestamp
GEazyMusicVEVO,UCjjC1Jk_1o1VWpLalgo21XQ,2014-04-25T19:53:03.000Z,3959283,116,2735615675,2019-04-07 16:24:43.848675
U.S. Navy,,,0,0,0,2019-04-07 16:24:44.880438
IGN,UC5YfR2K_rXeIy7bseOKky6Q,2006-03-01T19:54:48.000Z,1274,0,0,2019-04-07 16:24:46.036600
Safiya Nygaard,,,0,0,0,2019-04-07 16:24:47.080879
Lele Pons,,,0,0,0,2019-04-07 16:24:48.118773
INSIDER,,,0,0,0,2019-04-07 16:24:49.168031
John Lewis,,,0,0,0,2019-04-07 16:24:50.194882
Ed Sheeran,,,0,0,0,2019-04-07 16:24:51.237612
Sara Dietschy,,,0,0,0,2019-04-07 16:24:52.272175
MeganBatoon,UCV-s8itWCK3yeCppmSYxtVA,2010-12-13T18:38:06.000Z,1064899,386,80434346,2019-04-07 16:24:53.348579
John Campea,,,0,0,0,2019-04-07 16:24:54.388487
fosterthepeopleVEVO,UC-lkm1huv9jCUH28E7cKmew,2011-01-10T17:45:13.000Z,1531463,74,916351986,2019-04-07 16:24:55.482296
Watch What Happens Live with Andy Cohen,,,0,0,0,2019-04-07 16:24:56.523266
Mayo Clinic,,,0,0,0,2019-04-07 16:24:57.564630
Jason Derulo,,,0,0,0,2019-04-07 16:24:58.606826
The Late Late Show with James Corden,,,0,0,0,2019-04-07 16:24:59.635437
cocheusadoooo,UCVwfBTDTmVokWadp1PFRBBw,2011-03-02T02:34:12.000Z,1835,18,3330923,2019-04-07 16:25:00.738711
Amber Scholl,,,0,0,0,2019-04-07 16:25:01.780903
John Maclean,,,0,0,0,2019-04-07 16:25:02.811030
Bon Appétit,,,0,0,0,2019-04-07 16:25:03.856323
ABC News,,,0,0,0,2019-04-07 16:25:04.906385
mayratouchofglam,UCdYIfA_OTih2--tbcKO0b5g,2012-09-13T05:58:16.000Z,2069178,375,165975447,2019-04-07 16:25:05.984607
BuzzFeed Celeb,,,0,0,0,2019-04-07 16:25:07.025895
Zero Media,,,0,0,0,2019-04-07 16:25:08.066358
CMAVEVO,,,0,0,0,2019-04-07 16:25:09.118411
Alan Walker,,,0,0,0,2019-04-07 16:25:10.150622
SUPERFRUIT,,,0,0,0,2019-04-07 16:25:11.245051
Saint Louis Chess Club,,,0,0,0,2019-04-07 16:25:12.282426
ABC Television Network,,,0,0,0,2019-04-07 16:25:13.323362
Animal Adventure Park,,,0,0,0,2019-04-07 16:25:14.365894
HowToBasic,UCR4s1DE9J4DHzZYXMltSMAg,2011-12-08T10:47:20.000Z,13108055,493,2132432807,2019-04-07 16:25:15.438591
CinemaSins,UCYUQQgogVeQY8cMQamhHJcg,2012-12-11T20:22:33.000Z,8344016,715,2645988287,2019-04-07 16:25:16.510477
kimbramusic,UCxUp7o-KYIygfaw4UOZ8ebQ,2010-09-28T01:00:38.000Z,266050,108,85178749,2019-04-07 16:25:17.613629
Capital FM,,,0,0,0,2019-04-07 16:25:18.651763
Hope For Paws - Official Rescue Channel,,,0,0,0,2019-04-07 16:25:19.693591
IISuperwomanII,UCfm4y4rHF5HGrSr-qbvOwOg,2010-10-29T06:29:13.000Z,14643631,775,3022646703,2019-04-07 16:25:20.776482
Hopeless Records,,,0,0,0,2019-04-07 16:25:21.810824
Rachel and Jun,,,0,0,0,2019-04-07 16:25:22.867053
BBC Music,,,0,0,0,2019-04-07 16:25:23.901757
Late Night with Seth Meyers,,,0,0,0,2019-04-07 16:25:24.944835
H&M,,,0,0,0,2019-04-07 16:25:26.001085
CamilaCabelloVEVO,,,0,0,0,2019-04-07 16:25:27.045921
Liza Koshy,,,0,0,0,2019-04-07 16:25:28.077149
TheEllenShow,UCp0hYYBW6IMayGgR-WeoCvQ,2006-11-21T04:53:43.000Z,31684161,10092,15403517221,2019-04-07 16:25:29.149918
clothesencounters,UCgWfS_47YPVbKx5EK4FLm4A,2010-03-01T05:15:41.000Z,2396215,639,248913688,2019-04-07 16:25:30.249177
FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,2006-05-15T18:12:33.000Z,276932,1428,578495850,2019-04-07 16:25:31.313319
LukeBryanVEVO,UCteMJzhMoMh1-WN6d2u6NEg,2010-03-17T20:32:05.000Z,1644763,77,1384167417,2019-04-07 16:25:32.389826
NiallHoranVEVO,,,0,0,0,2019-04-07 16:25:33.436679
empireofthesunvevo,UCGMTsjL8kDqIuYlRcFhda1g,2010-06-10T04:52:03.000Z,255158,56,305794403,2019-04-07 16:25:34.509062
NFVEVO,UCI3H1FsjbdqGcLq93ZilV5g,2014-02-10T21:57:48.000Z,1654946,58,990377342,2019-04-07 16:25:35.608138
Marques Brownlee,,,0,0,0,2019-04-07 16:25:36.654928
Atlantic Records,,,0,0,0,2019-04-07 16:25:37.697016
MsAaliyahJay,UCneR_qQ1NE_u9neBSEJJ7lg,2011-11-16T01:43:53.000Z,1262145,268,89274630,2019-04-07 16:25:38.776262
Danny Sapko,,,0,0,0,2019-04-07 16:25:39.807563
Vogue,UCZ8TREbPfawhSvayVe5pqKg,2005-10-05T19:02:28.000Z,695425,311,99503917,2019-04-07 16:25:40.870405
Michelle Khare,,,0,0,0,2019-04-07 16:25:41.901729
Full Frontal with Samantha Bee,,,0,0,0,2019-04-07 16:25:42.945099
Nicole Guerriero,,,0,0,0,2019-04-07 16:25:43.980203
The Late Show with Stephen Colbert,,,0,0,0,2019-04-07 16:25:45.012476
Jimmy Kimmel Live,,,0,0,0,2019-04-07 16:25:46.044875
SuperCarlinBrothers,UCKZo4N0lVPccBkSiuyVh4yg,2012-04-23T23:16:23.000Z,1953329,871,430712598,2019-04-07 16:25:47.120811
SiaVEVO,UCmKdSrwf1e8coqAzUsrVHZw,2009-05-12T05:29:21.000Z,10407624,98,7572061733,2019-04-07 16:25:48.186485
Business Insider,,,0,0,0,2019-04-07 16:25:49.219311
2CELLOS,,,0,0,0,2019-04-07 16:25:50.272785
theneedledrop,UCt7fwAhXDy3oNFTAzF2o8Pw,2009-01-21T05:50:41.000Z,1795824,2898,447741935,2019-04-07 16:25:51.344521
Simon's Cat,,,0,0,0,2019-04-07 16:25:52.390651
